M,N,estrategia,funcao,tempo_insercao_ms,tempo_busca_ms,colisoes,passos,gap_min,gap_medio,gap_max,top1,top2,top3
1000,100000,encadeada,FuncaoHashMultiplicacao,106.900,270.352,99000,10098556,0,0.000,0,135,129,129
1000,100000,encadeada,FuncaoHashSomaDigitos,2238.648,4214.680,99934,325135858,1,233.500,926,4633,4581,4547
1000,100000,encadeada,HashRotacaoDourada,80.375,147.793,99000,10097778,0,0.000,0,135,134,130
1000,500000,encadeada,FuncaoHashMultiplicacao,2471.447,6466.012,499000,250492608,0,0.000,0,575,567,566
1000,500000,encadeada,FuncaoHashSomaDigitos,50862.124,91783.798,499929,8111675846,6,464.500,923,22767,22672,22519
1000,500000,encadeada,HashRotacaoDourada,2062.829,4925.562,499000,250504832,0,0.000,0,568,557,557
1000,1000000,encadeada,FuncaoHashMultiplicacao,12705.490,38403.278,999000,1000981884,0,0.000,0,1122,1097,1092
1000,1000000,encadeada,FuncaoHashSomaDigitos,508079.692,1255550.622,999928,32493026114,5,464.000,923,45553,45350,45043
1000,1000000,encadeada,HashRotacaoDourada,12478.794,38629.962,999000,1001009944,0,0.000,0,1108,1097,1082
10000,100000,encadeada,FuncaoHashMultiplicacao,10.084,14.655,90000,1097050,0,0.000,0,23,22,22
10000,100000,encadeada,FuncaoHashSomaDigitos,1858.953,3804.366,99934,325135858,1,2483.500,9926,4633,4581,4547
10000,100000,encadeada,HashRotacaoDourada,7.915,13.979,90001,1098796,1,1.000,1,24,23,23
10000,500000,encadeada,FuncaoHashMultiplicacao,119.202,250.717,490000,25499468,0,0.000,0,78,77,76
10000,500000,encadeada,FuncaoHashSomaDigitos,82199.458,163139.263,499929,8111675846,6,4964.500,9923,22767,22672,22519
10000,500000,encadeada,HashRotacaoDourada,245.352,518.601,490000,25496322,0,0.000,0,80,76,76
10000,1000000,encadeada,FuncaoHashMultiplicacao,1354.948,4128.782,990000,100992660,0,0.000,0,139,136,135
10000,1000000,encadeada,FuncaoHashSomaDigitos,503197.858,1292571.855,999928,32493026114,5,4964.000,9923,45553,45350,45043
10000,1000000,encadeada,HashRotacaoDourada,1215.529,3974.152,990000,101014604,0,0.000,0,139,138,136
100000,100000,encadeada,FuncaoHashMultiplicacao,4.446,4.441,36810,200346,1,1.584,11,8,7,7
100000,100000,linear,FuncaoHashMultiplicacao,63.576,52.525,17840749,17935273,0,0.000,0,0,0,0
100000,100000,quadratica,FuncaoHashMultiplicacao,15.909,13.534,1676889,1776881,1,1.000,1,0,0,0
100000,100000,encadeada,FuncaoHashSomaDigitos,1627.576,729.703,99934,325135858,1,24983.500,99926,4633,4581,4547
100000,100000,linear,FuncaoHashSomaDigitos,6819.803,6776.406,4996596193,4996583927,0,0.000,0,0,0,0
100000,100000,quadratica,FuncaoHashSomaDigitos,764.736,678.679,383780951,383880143,1,4.075,13,0,0,0
100000,100000,encadeada,HashRotacaoDourada,4.955,4.410,36727,199986,1,1.592,12,8,7,7
100000,100000,linear,HashRotacaoDourada,48.788,59.900,30633989,30730196,0,0.000,0,0,0,0
100000,100000,quadratica,HashRotacaoDourada,9.151,13.937,2588769,2688752,1,1.000,1,0,0,0
100000,500000,encadeada,FuncaoHashMultiplicacao,59.679,81.471,400647,2997090,1,1.008,2,18,18,17
100000,500000,encadeada,FuncaoHashSomaDigitos,85620.641,153680.983,499929,8111675846,6,49964.500,99923,22767,22672,22519
100000,500000,encadeada,HashRotacaoDourada,45.151,52.743,400664,3001852,1,1.012,2,20,17,17
100000,1000000,encadeada,FuncaoHashMultiplicacao,215.286,456.807,900001,10997846,1,1.000,1,26,26,25
100000,1000000,encadeada,FuncaoHashSomaDigitos,477038.357,1264071.929,999928,32493026114,5,49964.000,99923,45553,45350,45043
100000,1000000,encadeada,HashRotacaoDourada,179.502,457.371,900004,11006696,1,1.000,1,29,26,25
